county,sub_county,year_1,month_2,disease_condition,nature_of_diagnosis_clinical_lab_pm,species,no_sick,deaths,diagnosis,date
Kisumu,Nyando,2018,June,Anthrax,Laboratory,Bovine,1,1,Lab confirmed,2018-06-01
Kisumu,Kisumu Central,2018,June,Rabies,Clinical,Canine,1,1,Clinically confirmed,2018-06-01
Kisumu,Kisumu west,2018,October,Rabies,Laboratory,Bovine,1,1,Lab confirmed,2018-10-01
Kisumu,Seme,2018,October,Rabies,Clinical,Canine,1,1,Clinically confirmed,2018-10-01
Kwale,Kinango,2018,February,Rabies,Laboratory,Canine,1,1,Lab confirmed,2018-02-01
Kwale,Msambwe,2018,February,Rabies,Laboratory,Equine,1,1,Lab confirmed,2018-02-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,27,3,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,27,21,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,41,8,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Bovine,1,7,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,69,58,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Bovine,14,2,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,63,27,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,21,4,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,27,21,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,41,8,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,June,Rvf,Clinical,Caprine,27,3,Clinically confirmed,2018-06-01
Kwale,Kinango,2018,July,Rvf,Clinical,Caprine,5,0,Clinically confirmed,2018-07-01
Kwale,Kinango,2018,July,Brucellosis,Clinical,Caprine,63,120,Clinically confirmed,2018-07-01
Kwale,Msambweni,2018,July,Brucellosis,Clinical,Caprine,15,1,Clinically confirmed,2018-07-01
Kwale,Kinango,2018,July,Rvf,Clinical,Caprine,8,5,Clinically confirmed,2018-07-01
Kwale,Kinango,2018,July,Brucellosis,Clinical,Caprine,450,63,Clinically confirmed,2018-07-01
Kwale,Msambweni,2018,August,Rabies,Laboratory,Canine,1,1,Lab confirmed,2018-08-01
Kwale,Matuga,2018,August,Rvf,Clinical,Bovine,1,0,Clinically confirmed,2018-08-01
Kwale,Matuga,2018,August,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-08-01
Kwale,Kinango,2018,August,Rabies,Clinical,Caprine,1,0,Clinically confirmed,2018-08-01
Kwale,Kinango,2018,September,Rabies,Laboratory,Caprine,1,1,Lab confirmed,2018-09-01
Kwale,Kinango,2018,September,Rabies,Clinical,Bovine,2,0,Clinically confirmed,2018-09-01
Kwale,Kinango,2018,October,Rabies,Clinical,Canine,1,1,Clinically confirmed,2018-10-01
Kwale,Msambweni,2018,November,Rabies,Clinical,Bovine,1,1,Clinically confirmed,2018-11-01
Laikipia,Samburu East,2018,March,Anthrax,Clinical,Bovine,1,0,Clinically confirmed,2018-03-01
Machakos,Kangundo,2018,April,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-04-01
Machakos,Kangundo,2018,July,Rabies,Clinical,Canine,1,1,Clinically confirmed,2018-07-01
Makueni,Mbooni,2018,January,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-01-01
Makueni,Mbooni,2018,February,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-02-01
Makueni,Mbooni,2018,February,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-02-01
Makueni,Mbooni,2018,March,Rabies,Clinical,Caprine,1,0,Clinically confirmed,2018-03-01
Makueni,Mbooni,2018,March,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-03-01
Makueni,Mbooni,2018,July,Rvf,Clinical,Caprine,4,4,Clinically confirmed,2018-07-01
Makueni,Kaiti,2018,September,Brucellosis,Clinical,Bovine,1,0,Clinically confirmed,2018-09-01
Makueni,Kilome,2018,September,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-09-01
Makueni,Kibwezi West,2018,November,Rabies,Clinical,Caprine,1,0,Clinically confirmed,2018-11-01
Makueni,Kibwezi West,2018,November,Anthrax,Post Mortem,Bovine,1,1,Post Mortem,2018-11-01
Makueni,Mbooni,2018,November,Rabies,Clinical,Canine,2,0,Clinically confirmed,2018-11-01
Meru,Imenti North,2018,January,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-01-01
Meru,Buuri,2018,January,Rabies,Clinical,Equine,1,0,Clinically confirmed,2018-01-01
Meru,Imenti north,2018,January,Anthrax,Clinical,Bovine,8,1,Clinically confirmed,2018-01-01
Meru,Imenti South,2018,February,Anthrax,PM,Bovine,1,2,Post Mortem,2018-02-01
Meru,Imenti South,2018,February,Anthrax,Post Mortem,Bovine,1,2,Post Mortem,2018-02-01
Meru,Igembe North,2018,October,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-10-01
Meru,South Imenti,2018,October,Anthrax,Clinical,Porcine,1,2,Clinically confirmed,2018-10-01
Meru,Igembe South,2018,October,Anthrax,Clinical,Bovine,1,1,Clinically confirmed,2018-10-01
Meru,Tigania East,2018,October,Brucellosis,Clinical,Bovine,1,0,Clinically confirmed,2018-10-01
Meru,Igembe Central,2018,October,Anthrax,Post Mortem,Bovine,1,1,Post Mortem,2018-10-01
Meru,Igembe North,2018,October,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-10-01
Meru,North Imenti,2018,October,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-10-01
Meru,South Imenti,2018,October,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-10-01
Meru,Igembe North,2018,October,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-10-01
Meru,Igembe South,2018,November,Anthrax,Clinical,Bovine,1,3,Clinically confirmed,2018-11-01
Meru,Igembe North,2018,November,Rabies,Clinical,Bovine,1,1,Clinically confirmed,2018-11-01
Meru,Central Imenti,2018,November,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-11-01
Meru,South Imenti,2018,December,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-12-01
Mombasa,Kisauni,2018,June,Anthrax,Laboratory,Porcine,1,1,Lab confirmed,2018-06-01
Mombasa,Kisauni,2018,August,Rabies,Laboratory,Canine,1,1,Lab confirmed,2018-08-01
Mombasa,Nyali,2018,August,Rabies,Laboratory,Canine,1,1,Lab confirmed,2018-08-01
Nakuru,Nakuru Town,2018,January,Anthrax,Clinical,Ovine,1,1,Clinically confirmed,2018-01-01
Nakuru,Nakuru Town,2018,January,Rabies,Clinical,Canine,2,0,Clinically confirmed,2018-01-01
Nakuru,Nakuru Town,2018,January,Rabies,Clinical,Bovine,2,0,Clinically confirmed,2018-01-01
Nakuru,Nakuru Town,2018,January,Rabies,Clinical,Ovine,1,2,Clinically confirmed,2018-01-01
Nakuru,Nakuru Town,2018,February,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-02-01
Nakuru,Naivasha,2018,February,Rabies,Clinical,Canine,1,1,Clinically confirmed,2018-02-01
Nakuru,Naivasha,2018,February,Rabies,Clinical,Canine,45,6,Clinically confirmed,2018-02-01
Nakuru,Nakuru North,2018,March,Rabies,Clinical,Canine,1,1,Clinically confirmed,2018-03-01
Nakuru,Naivasha,2018,May,Anthrax,Clinical,Bovine,1,1,Clinically confirmed,2018-05-01
Nakuru,Njoro,2018,June,Brucellosis,Clinical,Bovine,1,0,Clinically confirmed,2018-06-01
Nakuru,Naivasha,2018,June,Rabies,Clinical,Canine,2,0,Clinically confirmed,2018-06-01
Nakuru,Njoro,2018,July,Rvf,Clinical,Bovine,1,0,Clinically confirmed,2018-07-01
Narok,Transmara West,2018,July,Brucellosis,Clinical,Bovine,70,8,Clinically confirmed,2018-07-01
Narok,Emurua Dikirr,2018,August,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-08-01
Narok,Transmara West,2018,August,Rvf,Clinical,Caprine,3,4,Clinically confirmed,2018-08-01
Narok,Narok South,2018,September,Rvf,Clinical,Ovine,1,0,Clinically confirmed,2018-09-01
Narok,Transmara West,2018,August,Rabies,Clinical,Canine,3,1,Clinically confirmed,2018-08-01
Narok,Narok South,2018,November,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-11-01
Narok,Narok South,2018,November,Anthrax,Clinical,Bovine,1,3,Clinically confirmed,2018-11-01
Narok,Narok West,2018,November,Rabies,Clinical,Canine,3,2,Clinically confirmed,2018-11-01
Narok,Narok South,2018,December,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-12-01
Nyeri,Mathira West,2018,August,Rabies,Laboratory,Caprine,1,0,Lab confirmed,2018-08-01
Nyeri,Nyeri Central,2018,August,Anthrax,Laboratory,Bovine,1,0,Lab confirmed,2018-08-01
Nyeri,Nyeri Town,2018,September,Rvf,Clinical,Caprine,1,0,Clinically confirmed,2018-09-01
Nyeri,Mathira East,2018,November,Anthrax,Laboratory,Bovine,1,1,Lab confirmed,2018-11-01
West Pokot,West Pokot,2018,March,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-03-01
West Pokot,West Pokot,2018,March,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-03-01
Samburu,Samburu Central,2018,February,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-02-01
Samburu,Samburu Central,2018,July,Anthrax,Clinical,Bovine,1,1,Clinically confirmed,2018-07-01
Siaya,Bondo,2017,January,Brucellosis,Clinical,Bovine,1,0,Clinically confirmed,2017-01-01
Siaya,Bondo,2018,January,Brucellosis,Clinical,Caprine,1,0,Clinically confirmed,2018-01-01
Siaya,Bondo,2018,January,Anthrax,Clinical,Bovine,1,1,Clinically confirmed,2018-01-01
Siaya,Gem,2018,January,Rabies,Clinical,Bovine,1,1,Clinically confirmed,2018-01-01
Siaya,Rarieda,2018,January,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-01-01
Siaya,Siaya,2018,February,Brucellosis,Clinical,Bovine,1,0,Clinically confirmed,2018-02-01
Siaya,Rarieda,2018,February,Anthrax,Clinical,Bovine,2,1,Clinically confirmed,2018-02-01
Siaya,Bondo,2018,February,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-02-01
Siaya,Bondo,2018,February,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-02-01
Siaya,Siaya,2018,February,Rabies,Clinical,Caprine,2,1,Clinically confirmed,2018-02-01
Siaya,Rarieda,2018,February,Rabies,Clinical,Caprine,1,0,Clinically confirmed,2018-02-01
Siaya,Rarieda,2018,February,Rvf,Clinical,Bovine,3,0,Clinically confirmed,2018-02-01
Siaya,Rarieda,2018,March,Brucellosis,Clinical,Caprine,1,0,Clinically confirmed,2018-03-01
Siaya,Bondo,2018,June,Brucellosis,Post Mortem,Bovine,1,0,Post Mortem,2018-06-01
Siaya,Alego Usonga,2018,June,Rvf,Laboratory,Ovine,1,1,Lab confirmed,2018-06-01
Siaya,Alego Usonga,2018,July,Rvf,Clinical,Caprine,5,2,Clinically confirmed,2018-07-01
Siaya,Alego Usonga,2018,July,Rvf,Clinical,Bovine,6,1,Clinically confirmed,2018-07-01
Siaya,Alego Usonga,2018,July,Rvf,Clinical,Ovine,1,1,Clinically confirmed,2018-07-01
Siaya,Gem,2018,July,Rabies,Clinical,Bovine,1,1,Clinically confirmed,2018-07-01
Siaya,Alego Usonga,2018,August,Rvf,Clinical,Caprine,1,0,Clinically confirmed,2018-08-01
Siaya,Bondo,2018,November,Brucellosis,Clinical,Bovine,1,0,Clinically confirmed,2018-11-01
Siaya,Alego Usonga,2018,November,Rabies,Clinical,Canine,1,0,Clinically confirmed,2018-11-01
Siaya,Alego Usonga,2018,December,Rvf,Clinical,Caprine,1,0,Clinically confirmed,2018-12-01
Siaya,Alego Usonga,2018,December,Rvf,Clinical,Caprine,1,0,Clinically confirmed,2018-12-01
Tana River,Tana Delta,2018,June,Rvf,Laboratory,Caprine,9,1,Lab confirmed,2018-06-01
Tharaka Nithi,Chuka/Igambang'Ombe,2018,September,Brucellosis,Clinical,Bovine,1,0,Clinically confirmed,2018-09-01
Tharaka Nithi,Tharaka,2018,September,Rvf,Clinical,Caprine,1,0,Clinically confirmed,2018-09-01
Tharaka Nithi,Chuka/Igambang'Ombe,2018,October,Anthrax,Clinical,Bovine,1,2,Clinically confirmed,2018-10-01
Tharaka Nithi,Chuka/Igambang'Ombe,2018,October,Anthrax,Clinical,Bovine,1,5,Clinically confirmed,2018-10-01
Tharaka Nithi,Chuka/Igambang'Ombe,2018,October,Anthrax,Laboratory,Bovine,1,3,Lab confirmed,2018-10-01
Tharaka Nithi,Chuka/Igambang'Ombe,2018,October,Anthrax,Clinical,Bovine,1,7,Clinically confirmed,2018-10-01
Tharaka Nithi,Maara,2018,October,Anthrax,Laboratory,Bovine,1,3,Lab confirmed,2018-10-01
Tharaka Nithi,Chuka/Igambang'Ombe,2018,November,Rabies,Clinical,Bovine,1,0,Clinically confirmed,2018-11-01
Uasin Gishu,Soy,2018,July,Anthrax,Laboratory,Bovine,1,1,Lab confirmed,2018-07-01
Uasin Gishu,Moiben,2018,September,Anthrax,Laboratory,Bovine,1,1,Lab confirmed,2018-09-01
Wajir,Eldas,2018,June,Rvf,Laboratory,Ovine,200,500,Lab confirmed,2018-06-01
Wajir,Wajir South,2018,July,Rvf,Laboratory,Ovine,200,300,Lab confirmed,2018-07-01
Baringo,Baringo South,2019,May,Brucellosis,Clinical,Sheep,3,2,Clinically confirmed,2019-05-01
Baringo,Baringo South,2019,May,Brucellosis,Laboratory,Cattle,12,0,Lab confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,12,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Tiaty,2019,May,Anthrax,Clinical,Camel,5,5,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo Central,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo Central,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,4,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,1,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,9,3,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,1,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Goats,3,9,Clinically confirmed,2019-05-01
Baringo,Eldama Ravine,2019,May,Anthrax,Post Mortem,Cattle,1,2,Post Mortem,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo Central,2019,june,Brucellosis,Clinical,Cattle,1,0,Clinically confirmed,2019-06-01
Baringo,Eldama Ravine,2019,june,Rabies,Post Mortem,Cattle,2,13,Post Mortem,2019-06-01
Baringo,Eldama Ravine,2019,june,Anthrax,Post Mortem,Cattle,1,50,Post Mortem,2019-06-01
Baringo,Eldama Ravine,2019,june,Anthrax,Post Mortem,Cattle,1,150,Post Mortem,2019-06-01
Baringo,Baringo North,2019,September,Rabies,Clinical,Dog,1,0,Clinically confirmed,2019-09-01
Baringo,Baringo North,2019,September,Brucellosis,Clinical,Cattle,1,0,Clinically confirmed,2019-09-01
Baringo,Baringo South,2019,May,Brucellosis,Clinical,Sheep,3,2,Clinically confirmed,2019-05-01
Baringo,Baringo South,2019,May,Brucellosis,Laboratory,Cattle,12,0,Lab confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,12,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Tiaty,2019,May,Anthrax,Clinical,Camel,5,5,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo Central,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo Central,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,4,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,1,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,9,3,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,1,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Sheep,14,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Caprine,3,9,Clinically confirmed,2019-05-01
Baringo,Baringo North,2019,May,Rvf,Clinical,Cattle,5,0,Clinically confirmed,2019-05-01
