identifier,grouping,county,keyhealthindicator,date,cases_rate
Nyamira_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Nyamira,Measles doses in stock at the beginning of the Month,01/01/2020,1140
Nyamira_Measles doses received within the Month_2020/January,2-Immunization,Nyamira,Measles doses received within the Month,01/01/2020,220
Nyamira_Measles doses remaining  at the end Month_2020/January,2-Immunization,Nyamira,Measles doses remaining  at the end Month,01/01/2020,150
Nyamira_Measles_2020/January,3-Cases Reported,Nyamira,Measles,01/01/2020,11
Narok_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Narok,Measles-Rubella 1 doses Administered,01/01/2020,2516
Narok_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Narok,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,824
Narok_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Narok,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,7
Narok_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Narok,Measles doses in stock at the beginning of the Month,01/01/2020,11370
Narok_Measles doses received within the Month_2020/January,2-Immunization,Narok,Measles doses received within the Month,01/01/2020,6190
Narok_Measles doses remaining  at the end Month_2020/January,2-Immunization,Narok,Measles doses remaining  at the end Month,01/01/2020,10799
Narok_Measles_2020/January,3-Cases Reported,Narok,Measles,01/01/2020,3
Nandi_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Nandi,Measles-Rubella 1 doses Administered,01/01/2020,1001
Nandi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Nandi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,353
Nandi_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Nandi,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,3
Nandi_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Nandi,Measles doses in stock at the beginning of the Month,01/01/2020,4750
Nandi_Measles doses received within the Month_2020/January,2-Immunization,Nandi,Measles doses received within the Month,01/01/2020,9099
Nandi_Measles doses remaining  at the end Month_2020/January,2-Immunization,Nandi,Measles doses remaining  at the end Month,01/01/2020,1587
Nandi_Measles_2020/January,3-Cases Reported,Nandi,Measles,01/01/2020,8
Nakuru_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Nakuru,Measles-Rubella 1 doses Administered,01/01/2020,2884
Nakuru_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Nakuru,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,1744
Nakuru_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Nakuru,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,15
Nakuru_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Nakuru,Measles doses in stock at the beginning of the Month,01/01/2020,8116
Nakuru_Measles doses received within the Month_2020/January,2-Immunization,Nakuru,Measles doses received within the Month,01/01/2020,4352
Nakuru_Measles doses remaining  at the end Month_2020/January,2-Immunization,Nakuru,Measles doses remaining  at the end Month,01/01/2020,2805
Nakuru_Measles_2020/January,3-Cases Reported,Nakuru,Measles,01/01/2020,21
Nairobi_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Nairobi,Measles-Rubella 1 doses Administered,01/01/2020,10718
Nairobi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Nairobi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,5102
Nairobi_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Nairobi,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,109
Nairobi_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Nairobi,Measles doses in stock at the beginning of the Month,01/01/2020,30301
Nairobi_Measles doses received within the Month_2020/January,2-Immunization,Nairobi,Measles doses received within the Month,01/01/2020,18066
Nairobi_Measles doses remaining  at the end Month_2020/January,2-Immunization,Nairobi,Measles doses remaining  at the end Month,01/01/2020,16680
Nairobi_Measles_2020/January,3-Cases Reported,Nairobi,Measles,01/01/2020,67
Muranga_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Muranga,Measles-Rubella 1 doses Administered,01/01/2020,1884
Muranga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Muranga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,1536
Muranga_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Muranga,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,130
Muranga_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Muranga,Measles doses in stock at the beginning of the Month,01/01/2020,7229
Muranga_Measles doses received within the Month_2020/January,2-Immunization,Muranga,Measles doses received within the Month,01/01/2020,3380
Muranga_Measles doses remaining  at the end Month_2020/January,2-Immunization,Muranga,Measles doses remaining  at the end Month,01/01/2020,3435
Migori_Measles_2020/January,3-Cases Reported,Migori,Measles,01/01/2020,6
Muranga_Measles_2020/January,3-Cases Reported,Muranga,Measles,01/01/2020,6
Mombasa_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Mombasa,Measles-Rubella 1 doses Administered,01/01/2020,1194
Mombasa_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Mombasa,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,370
Mombasa_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Mombasa,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,16
Mombasa_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Mombasa,Measles doses in stock at the beginning of the Month,01/01/2020,1197
Mombasa_Measles doses received within the Month_2020/January,2-Immunization,Mombasa,Measles doses received within the Month,01/01/2020,1140
Mombasa_Measles doses remaining  at the end Month_2020/January,2-Immunization,Mombasa,Measles doses remaining  at the end Month,01/01/2020,540
Mombasa_Measles_2020/January,3-Cases Reported,Mombasa,Measles,01/01/2020,3
Migori_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Migori,Measles-Rubella 1 doses Administered,01/01/2020,1849
Migori_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Migori,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,707
Migori_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Migori,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,13
Migori_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Migori,Measles doses in stock at the beginning of the Month,01/01/2020,4699
Migori_Measles doses received within the Month_2020/January,2-Immunization,Migori,Measles doses received within the Month,01/01/2020,666
Migori_Measles doses remaining  at the end Month_2020/January,2-Immunization,Migori,Measles doses remaining  at the end Month,01/01/2020,1640
Meru_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Meru,Measles-Rubella 1 doses Administered,01/01/2020,1880
Meru_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Meru,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,1260
Meru_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Meru,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,8
Meru_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Meru,Measles doses in stock at the beginning of the Month,01/01/2020,5340
Meru_Measles doses received within the Month_2020/January,2-Immunization,Meru,Measles doses received within the Month,01/01/2020,2610
Meru_Measles doses remaining  at the end Month_2020/January,2-Immunization,Meru,Measles doses remaining  at the end Month,01/01/2020,2690
Meru_Measles_2020/January,3-Cases Reported,Meru,Measles,01/01/2020,4
Marsabit_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Marsabit,Measles-Rubella 1 doses Administered,01/01/2020,1001
Marsabit_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Marsabit,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,162
Marsabit_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Marsabit,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,21
Marsabit_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Marsabit,Measles doses in stock at the beginning of the Month,01/01/2020,1300
Marsabit_Measles doses received within the Month_2020/January,2-Immunization,Marsabit,Measles doses received within the Month,01/01/2020,520
Marsabit_Measles doses remaining  at the end Month_2020/January,2-Immunization,Marsabit,Measles doses remaining  at the end Month,01/01/2020,870
Marsabit_Measles_2020/January,3-Cases Reported,Marsabit,Measles,01/01/2020,0
Makueni_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Makueni,Measles-Rubella 1 doses Administered,01/01/2020,1979
Makueni_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Makueni,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,1319
Makueni_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Makueni,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,27
Makueni_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Makueni,Measles doses in stock at the beginning of the Month,01/01/2020,11833
Makueni_Measles doses received within the Month_2020/January,2-Immunization,Makueni,Measles doses received within the Month,01/01/2020,4700
Makueni_Measles doses remaining  at the end Month_2020/January,2-Immunization,Makueni,Measles doses remaining  at the end Month,01/01/2020,6271
Makueni_Measles_2020/January,3-Cases Reported,Makueni,Measles,01/01/2020,0
Mandera_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Mandera,Measles-Rubella 1 doses Administered,01/01/2020,2548
Mandera_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Mandera,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,536
Mandera_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Mandera,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,119
Mandera_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Mandera,Measles doses in stock at the beginning of the Month,01/01/2020,3081
Mandera_Measles doses received within the Month_2020/January,2-Immunization,Mandera,Measles doses received within the Month,01/01/2020,90
Mandera_Measles doses remaining  at the end Month_2020/January,2-Immunization,Mandera,Measles doses remaining  at the end Month,01/01/2020,952
Mandera_Measles_2020/January,3-Cases Reported,Mandera,Measles,01/01/2020,8
Taita/Taveta_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Taita/Taveta,Measles-Rubella 1 doses Administered,01/01/2020,503
Taita/Taveta_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Taita/Taveta,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,341
Taita/Taveta_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Taita/Taveta,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,5
Taita/Taveta_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Taita/Taveta,Measles doses in stock at the beginning of the Month,01/01/2020,3550
Taita/Taveta_Measles doses received within the Month_2020/January,2-Immunization,Taita/Taveta,Measles doses received within the Month,01/01/2020,230
Taita/Taveta_Measles doses remaining  at the end Month_2020/January,2-Immunization,Taita/Taveta,Measles doses remaining  at the end Month,01/01/2020,1534
Taita/Taveta_Measles_2020/January,3-Cases Reported,Taita/Taveta,Measles,01/01/2020,1
Tana River_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Tana River,Measles-Rubella 1 doses Administered,01/01/2020,728
Tana River_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Tana River,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,286
Tana River_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Tana River,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,19
Tana River_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Tana River,Measles doses in stock at the beginning of the Month,01/01/2020,2830
Tana River_Measles doses received within the Month_2020/January,2-Immunization,Tana River,Measles doses received within the Month,01/01/2020,280
Tana River_Measles doses remaining  at the end Month_2020/January,2-Immunization,Tana River,Measles doses remaining  at the end Month,01/01/2020,1570
Tana River_Measles_2020/January,3-Cases Reported,Tana River,Measles,01/01/2020,0
Tharaka-Nithi_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Tharaka-Nithi,Measles-Rubella 1 doses Administered,01/01/2020,158
Tharaka-Nithi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Tharaka-Nithi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,96
Tharaka-Nithi_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Tharaka-Nithi,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,0
Tharaka-Nithi_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Tharaka-Nithi,Measles doses in stock at the beginning of the Month,01/01/2020,440
Tharaka-Nithi_Measles doses received within the Month_2020/January,2-Immunization,Tharaka-Nithi,Measles doses received within the Month,01/01/2020,90
Tharaka-Nithi_Measles doses remaining  at the end Month_2020/January,2-Immunization,Tharaka-Nithi,Measles doses remaining  at the end Month,01/01/2020,70
Tharaka-Nithi_Measles_2020/January,3-Cases Reported,Tharaka-Nithi,Measles,01/01/2020,3
Trans Nzoia_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Trans Nzoia,Measles-Rubella 1 doses Administered,01/01/2020,2449
Trans Nzoia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Trans Nzoia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,1038
Trans Nzoia_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Trans Nzoia,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,43
Trans Nzoia_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Trans Nzoia,Measles doses in stock at the beginning of the Month,01/01/2020,8813
Trans Nzoia_Measles doses received within the Month_2020/January,2-Immunization,Trans Nzoia,Measles doses received within the Month,01/01/2020,2668
Trans Nzoia_Measles doses remaining  at the end Month_2020/January,2-Immunization,Trans Nzoia,Measles doses remaining  at the end Month,01/01/2020,4935
Trans Nzoia_Measles_2020/January,3-Cases Reported,Trans Nzoia,Measles,01/01/2020,12
Turkana_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Turkana,Measles-Rubella 1 doses Administered,01/01/2020,1811
Turkana_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Turkana,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,465
Turkana_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Turkana,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,54
Turkana_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Turkana,Measles doses in stock at the beginning of the Month,01/01/2020,12364
Turkana_Measles doses received within the Month_2020/January,2-Immunization,Turkana,Measles doses received within the Month,01/01/2020,3310
Turkana_Measles doses remaining  at the end Month_2020/January,2-Immunization,Turkana,Measles doses remaining  at the end Month,01/01/2020,10622
Turkana_Measles_2020/January,3-Cases Reported,Turkana,Measles,01/01/2020,0
Uasin Gishu_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Uasin Gishu,Measles-Rubella 1 doses Administered,01/01/2020,1751
Uasin Gishu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Uasin Gishu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,530
Uasin Gishu_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Uasin Gishu,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,0
Uasin Gishu_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Uasin Gishu,Measles doses in stock at the beginning of the Month,01/01/2020,2495
Uasin Gishu_Measles doses received within the Month_2020/January,2-Immunization,Uasin Gishu,Measles doses received within the Month,01/01/2020,2360
Uasin Gishu_Measles doses remaining  at the end Month_2020/January,2-Immunization,Uasin Gishu,Measles doses remaining  at the end Month,01/01/2020,1424
Uasin Gishu_Measles_2020/January,3-Cases Reported,Uasin Gishu,Measles,01/01/2020,14
Vihiga_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Vihiga,Measles-Rubella 1 doses Administered,01/01/2020,1437
Vihiga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Vihiga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,723
Vihiga_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Vihiga,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,68
Vihiga_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Vihiga,Measles doses in stock at the beginning of the Month,01/01/2020,6511
Vihiga_Measles doses received within the Month_2020/January,2-Immunization,Vihiga,Measles doses received within the Month,01/01/2020,3681
Vihiga_Measles doses remaining  at the end Month_2020/January,2-Immunization,Vihiga,Measles doses remaining  at the end Month,01/01/2020,4331
Vihiga_Measles_2020/January,3-Cases Reported,Vihiga,Measles,01/01/2020,0
Wajir_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,Wajir,Measles-Rubella 1 doses Administered,01/01/2020,1803
Wajir_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,Wajir,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,307
Wajir_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,Wajir,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,19
Wajir_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,Wajir,Measles doses in stock at the beginning of the Month,01/01/2020,4897
Wajir_Measles doses received within the Month_2020/January,2-Immunization,Wajir,Measles doses received within the Month,01/01/2020,3450
Wajir_Measles doses remaining  at the end Month_2020/January,2-Immunization,Wajir,Measles doses remaining  at the end Month,01/01/2020,4519
Wajir_Measles_2020/January,3-Cases Reported,Wajir,Measles,01/01/2020,0
West Pokot_Measles-Rubella 1 doses Administered_2020/January,2-Immunization,West Pokot,Measles-Rubella 1 doses Administered,01/01/2020,1300
West Pokot_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/January,2-Immunization,West Pokot,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),01/01/2020,387
West Pokot_Measles-Rubella 2 Dose Administered >2 yrs_2020/January,2-Immunization,West Pokot,Measles-Rubella 2 Dose Administered >2 yrs,01/01/2020,47
West Pokot_Measles doses in stock at the beginning of the Month_2020/January,2-Immunization,West Pokot,Measles doses in stock at the beginning of the Month,01/01/2020,5110
West Pokot_Measles doses received within the Month_2020/January,2-Immunization,West Pokot,Measles doses received within the Month,01/01/2020,2310
West Pokot_Measles doses remaining  at the end Month_2020/January,2-Immunization,West Pokot,Measles doses remaining  at the end Month,01/01/2020,4759
West Pokot_Measles_2020/January,3-Cases Reported,West Pokot,Measles,01/01/2020,35
Baringo_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Baringo,Measles-Rubella 1 doses Administered,02/01/2020,1121
Baringo_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Baringo,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,399
Baringo_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Baringo,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,28
Baringo_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Baringo,Measles doses in stock at the beginning of the Month,02/01/2020,4774
Baringo_Measles doses received within the Month_2020/February,2-Immunization,Baringo,Measles doses received within the Month,02/01/2020,7470
Baringo_Measles doses remaining  at the end Month_2020/February,2-Immunization,Baringo,Measles doses remaining  at the end Month,02/01/2020,9670
Baringo_Measles_2020/February,3-Cases Reported,Baringo,Measles,02/01/2020,22
Bomet_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Bomet,Measles-Rubella 1 doses Administered,02/01/2020,548
Bomet_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Bomet,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,392
Bomet_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Bomet,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,1
Bomet_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Bomet,Measles doses in stock at the beginning of the Month,02/01/2020,1732
Bomet_Measles doses received within the Month_2020/February,2-Immunization,Bomet,Measles doses received within the Month,02/01/2020,2630
Bomet_Measles doses remaining  at the end Month_2020/February,2-Immunization,Bomet,Measles doses remaining  at the end Month,02/01/2020,2460
Bomet_Measles_2020/February,3-Cases Reported,Bomet,Measles,02/01/2020,3
Bungoma_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Bungoma,Measles-Rubella 1 doses Administered,02/01/2020,701
Bungoma_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Bungoma,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,206
Bungoma_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Bungoma,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,3
Bungoma_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Bungoma,Measles doses in stock at the beginning of the Month,02/01/2020,996
Bungoma_Measles doses received within the Month_2020/February,2-Immunization,Bungoma,Measles doses received within the Month,02/01/2020,12270
Bungoma_Measles doses remaining  at the end Month_2020/February,2-Immunization,Bungoma,Measles doses remaining  at the end Month,02/01/2020,11438
Bungoma_Measles_2020/February,3-Cases Reported,Bungoma,Measles,02/01/2020,2
Busia_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Busia,Measles-Rubella 1 doses Administered,02/01/2020,1074
Busia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Busia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,378
Busia_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Busia,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,70
Busia_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Busia,Measles doses in stock at the beginning of the Month,02/01/2020,301
Busia_Measles doses received within the Month_2020/February,2-Immunization,Busia,Measles doses received within the Month,02/01/2020,12530
Busia_Measles doses remaining  at the end Month_2020/February,2-Immunization,Busia,Measles doses remaining  at the end Month,02/01/2020,10220
Busia_Measles_2020/February,3-Cases Reported,Busia,Measles,02/01/2020,2
Elgeyo/Marakwet_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 1 doses Administered,02/01/2020,711
Elgeyo/Marakwet_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,397
Elgeyo/Marakwet_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Elgeyo/Marakwet,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,15
Elgeyo/Marakwet_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Elgeyo/Marakwet,Measles doses in stock at the beginning of the Month,02/01/2020,4226
Elgeyo/Marakwet_Measles doses received within the Month_2020/February,2-Immunization,Elgeyo/Marakwet,Measles doses received within the Month,02/01/2020,4011
Elgeyo/Marakwet_Measles doses remaining  at the end Month_2020/February,2-Immunization,Elgeyo/Marakwet,Measles doses remaining  at the end Month,02/01/2020,5377
Elgeyo/Marakwet_Measles_2020/February,3-Cases Reported,Elgeyo/Marakwet,Measles,02/01/2020,0
Embu_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Embu,Measles-Rubella 1 doses Administered,02/01/2020,633
Embu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Embu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,373
Embu_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Embu,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,7
Embu_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Embu,Measles doses in stock at the beginning of the Month,02/01/2020,421
Embu_Measles doses received within the Month_2020/February,2-Immunization,Embu,Measles doses received within the Month,02/01/2020,3670
Embu_Measles doses remaining  at the end Month_2020/February,2-Immunization,Embu,Measles doses remaining  at the end Month,02/01/2020,2915
Embu_Measles_2020/February,3-Cases Reported,Embu,Measles,02/01/2020,2
Garissa_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Garissa,Measles-Rubella 1 doses Administered,02/01/2020,2507
Garissa_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Garissa,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,1231
Garissa_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Garissa,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,44
Garissa_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Garissa,Measles doses in stock at the beginning of the Month,02/01/2020,6047
Garissa_Measles doses received within the Month_2020/February,2-Immunization,Garissa,Measles doses received within the Month,02/01/2020,4760
Garissa_Measles doses remaining  at the end Month_2020/February,2-Immunization,Garissa,Measles doses remaining  at the end Month,02/01/2020,6117
Garissa_Measles_2020/February,3-Cases Reported,Garissa,Measles,02/01/2020,12
Homa Bay_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Homa Bay,Measles-Rubella 1 doses Administered,02/01/2020,1007
Homa Bay_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Homa Bay,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,155
Homa Bay_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Homa Bay,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,164
Homa Bay_Measles doses in stock at the beginning of the Month_2020/February,2-Immunization,Homa Bay,Measles doses in stock at the beginning of the Month,02/01/2020,1177
Homa Bay_Measles doses received within the Month_2020/February,2-Immunization,Homa Bay,Measles doses received within the Month,02/01/2020,11690
Homa Bay_Measles doses remaining  at the end Month_2020/February,2-Immunization,Homa Bay,Measles doses remaining  at the end Month,02/01/2020,9748
Homa Bay_Measles_2020/February,3-Cases Reported,Homa Bay,Measles,02/01/2020,8
Isiolo_Measles-Rubella 1 doses Administered_2020/February,2-Immunization,Isiolo,Measles-Rubella 1 doses Administered,02/01/2020,392
Isiolo_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2020/February,2-Immunization,Isiolo,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),02/01/2020,129
Isiolo_Measles-Rubella 2 Dose Administered >2 yrs_2020/February,2-Immunization,Isiolo,Measles-Rubella 2 Dose Administered >2 yrs,02/01/2020,1
